,topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,Score
1520,Cryptography,09:09:24.582675,"COURSERA:CYBER SECURITY TOOLS|WEEK4 CRYPTOGRAPHY,PENETRATION TESTING&amp; DIGITAL FORENSICS|QUIZ ANSWERS",zE5hrkhvwfE,2020-05-28,0 days 00:11:13.000000000,-0.1802521480351072,-0.12297228115384362,-0.16651798944808743,0.0,-0.14054976280636636,2143
1621,Cryptography,09:09:37.955065,MATRICES IN CRYPTOGRAPHY,oPoePExOlFE,2020-08-16,0 days 00:14:19.000000000,-0.19404790137757405,-0.12350738971575906,-0.16651798944808743,0.0,-0.13376269977860392,2156
1172,Cryptography,09:08:37.719573,Introduction to Basic Cryptography: Symmetric Key Cryptography,10BX3zOr7wk,2015-02-10,0 days 00:13:17.000000000,-0.1031353793461779,-0.10784553952861213,-0.12401357364690807,0.0,-0.1383624831582793,2161
1357,Cryptography,09:08:57.817395,Cryptography Module Python,ttSgbUFYg9g,2018-09-19,0 days 00:04:38.000000000,-0.15977448757112536,0.0,0.0,0.0,-3.448843857885568e-17,2165
1501,Cryptography,09:09:17.996418,Where to Find Cryptographic ALU for Razorback Armada Event | Warframe,t91q5BiG5ho,2020-05-04,0 days 00:01:36.000000000,-0.18193870662067418,-0.11494565272511216,-0.14179061219148253,0.0,-0.13715623129248514,2170
1176,Cryptography,09:08:37.719573,Cryptography and Network Security - Digital Signature - GATE(CSE),_mDB_frZIr0,2018-04-09,0 days 00:10:30.000000000,-0.11403656002173868,-0.10336937279501635,-0.08650002146053215,0.0,-0.13108175882395157,2174
1132,Cryptography,09:08:30.980129,Introduction to Cryptography in Telugu #1,Obr1pCiAMpw,2019-02-10,0 days 00:08:32.000000000,-0.1626467555149172,-0.11211824413795356,-0.13765486535104476,0.0,-0.10923958582096842,2175
1151,Cryptography,09:08:30.980129,Symmetric vs Asymmetric Cryptography | Cryptography and network security,Hnt-QQgKygw,2019-11-12,0 days 00:04:56.000000000,-0.11300915033814063,-0.08617682329552344,-0.12742389657294223,0.0,-0.14078939126972187,2176
1257,Cryptography,09:08:44.345951,What Is Public Key Cryptography (PKC) Full Explain In Hindi For O level Exam,P5PJTJexbY8,2016-12-31,0 days 00:05:13.000000000,0.035326972018289354,-0.08414220205297991,1.0491375129088478,0.0,-0.07526287226077238,2178
1411,Cryptography,09:09:04.674210,Practical Lattice-based Cryptography in PALISADE,ZtJc6B7C8Pg,2020-05-01,0 days 01:09:25.000000000,-0.1916068297405692,-0.12404249827767448,-0.16651798944808743,0.0,-0.14394329432024755,2191
1546,Cryptography,09:09:24.582675,Diffie-Hellman: Encryption and Decryption explained | Part 8 Cryptography Crashcourse,jFVCIecyXRg,2018-12-23,0 days 00:19:35.000000000,-0.18102145546010268,-0.11334032703936586,-0.1294269235631801,0.0,-0.1269756367508415,2199
1360,Cryptography,09:08:57.817395,Quantum cryptography: basics and technology with Vadim Makarov,wF-BWgnpYmI,2014-11-14,0 days 00:50:01.000000000,-0.1469500631554233,-0.11832383892771135,-0.13765486535104476,0.0,-0.15292393182693473,2203
1691,Cryptography,09:09:44.941384,Cdn Nonce Vs Cruel Steppa,1ESANOOBHNc,2020-08-16,0 days 00:02:09.000000000,-0.19401091544368004,-0.12297228115384362,-0.14179061219148253,0.0,-0.1235821052369603,2205
1275,Cryptography,09:08:51.229347,Security Attacks in cryptography,ktb7aouxpRw,2019-09-09,0 days 00:10:55.000000000,-0.1040956014755352,-0.08658374754403216,-0.11378260486880555,0.0,-0.11652031015529613,2206
1136,Cryptography,09:08:30.980129,Introduction to Cryptography (1 of 2: What&#39;s a Cipher?),6xDGSalpPXk,2014-10-27,0 days 00:10:51.000000000,-0.11708799477683915,-0.10418322129203375,-0.12401357364690807,0.0,-0.13593557504683673,2209
1619,Cryptography,09:09:37.955065,Shields UP #21 - Asymmetric Cryptography Primer,_mfTPQYv1SY,2020-08-17,0 days 00:27:38.000000000,-0.19393694357589203,-0.12511271540150534,-0.16651798944808743,0.0,-0.13715623129248514,2217
1369,Cryptography,09:09:04.674210,Applied Cryptography: Hash Functions - Part 1,IWMESE6OfHw,2017-01-13,0 days 00:09:42.000000000,-0.07263502920230668,-0.11344074794560685,-0.11378260486880555,0.0,-0.15777774804981987,2218
1238,Cryptography,09:08:44.345951,Cipher Feedback Mode(CFB) | Algorithm Modes in Cryptography,Xm37066R38E,2018-08-14,0 days 00:09:24.000000000,-0.1409199801623165,-0.1053022629754327,-0.1206032507208739,0.0,-0.05342069925778922,2219
1234,Cryptography,09:08:44.345951,Cryptography 101 with .NET Core,rLEJLuA3hd0,2019-10-03,0 days 00:29:12.000000000,-0.14009413314144067,-0.1009278273039641,-0.10696195901673719,0.0,-0.10923958582096842,2222
1246,Cryptography,09:08:44.345951,Mathematics and Cryptography: A Marriage of Convenience?,6OmL0eu88Ak,2020-05-09,0 days 00:43:49.000000000,-0.16826531473829942,0.0,0.0,0.0,-3.448843857885568e-17,2229
1263,Cryptography,09:08:51.229347,Chinese Remainder Theorem with NUMERICAL in Cryptography | Abhishek Sharma,Fyr9rUWhhTM,2019-11-28,0 days 00:14:57.000000000,-0.10613642343559782,-0.0775296830147134,-0.06603808390432711,0.0,-0.09467813715231298,2231
1168,Cryptography,09:08:37.719573,Cryptography for the masses: Nadim Kobeissi at TEDxMontreal,J50Vo-6Fs10,2013-09-30,0 days 00:16:31.000000000,-0.13114978998314158,-0.10977842970902849,-0.13424454242501058,0.0,-0.1553508399383773,2233
1182,Cryptography,09:08:37.719573,Symmetric and Asymmetric Key Cryptography,9OjK9NNlXYY,2018-06-05,0 days 00:03:35.000000000,-0.11301754878242072,-0.10703169103159471,-0.07285872975639546,0.0,-0.13350866693539415,2233
1538,Cryptography,09:09:24.582675,"C++ Builder - Hash functions, Symmetric + Asymmetric Cryptography, and Digital Signature (LockBox)",AgPw4U8-ry0,2020-08-04,0 days 00:24:32.000000000,-0.19317503333767536,-0.12297228115384362,-0.16651798944808743,0.0,-0.13715623129248514,2238
1506,Cryptography,09:09:17.996418,Comparing the Usability of Cryptographic APIs,_kj9Sn0M-hs,2017-05-23,0 days 00:21:18.000000000,-0.1856668887571907,-0.12109940118713962,-0.16651798944808743,0.0,-0.14394329432024755,2252
